M.2_E_Card,J?,M.2-CARD-E-2222,NA,,
Pin,Name,Type,Side,Style,Hidden
1,GND,power_out,right,,False
2,+3V3,power_out,left,,False
3,USB_D+,bidirectional,right,,False
4,+3V3,power_out,left,,False
5,USB_D-,bidirectional,right,,False
6,LED1#,output,left,,False
6,I2S_SD_Out/PCM_Out,output,left,,False
7,GND,power_out,right,,False
8,I2S/PCM_CLK,bidirectional,left,clock,False
9,SYS/SDIO_CLK,output,right,clock,False
10,I2S_WS/PCM_Sync,bidirectional,left,,False
11,SDIO_CMD,bidirectional,right,,False
12,I2S_In/PCM_In,input,left,,False
13,SDIO_Data0,bidirectional,right,,False
15,SDIO_Data1,bidirectional,right,,False
16,LED2#,output,left,,False
17,SDIO_Data2,bidirectional,right,,False
18,GND,power_out,left,,False
19,SDIO_Data3,bidirectional,right,,False
20,UART_WAKE#,input,left,,False
21,SDIO_WAKE#,input,right,,False
22,UART_RxD,input,left,,False
23,SDIO_Reset#/Tx_Blank,output,right,,False
32,UART_TxD,unspecified,left,,False
33,GND,power_out,right,,False
34,UART_CTS,unspecified,left,,False
35,PETp0,output,right,,False
36,UART_RTS,unspecified,left,,False
37,PETn0,output,right,,False
38,Vendor_Defined,unspecified,left,,False
39,GND,power_out,right,,False
40,Vendor_Defined,unspecified,left,,False
41,PERp0,input,right,,False
42,Vendor_Defined,unspecified,left,,False
43,PERn0,input,right,,False
44,COEX3,bidirectional,left,,False
45,GND,power_out,right,,False
46,COEX_RxD,input,left,,False
47,PEFCLKp0,output,right,clock,False
48,COEX_TxD,output,left,,False
49,PEFCLKn0,output,right,clock,False
50,SUSCLK,output,left,clock,False
51,GND,power_out,right,,False
52,PERST0#,bidirectional,left,,False
53,CLKREQ0#,bidirectional,right,clock,False
54,W_DISABLE2#,output,left,,False
55,PEWake0#,bidirectional,right,,False
56,W_DISABLE1#,output,left,,False
57,GND,power_out,right,,False
58,I2C/SMB_DATA,bidirectional,left,,False
59,PERp1,unspecified,right,,False
60,I2C/SMB_CLK,output,left,clock,False
61,PERn1,unspecified,right,,False
62,I2C_ALERT#,input,left,,False
63,GND,power_out,right,,False
64,Reserved,unspecified,left,,False
65,PETp1,unspecified,right,,False
66,UIM_SWP/PREST1#,unspecified,left,,False
67,PETn1,unspecified,right,,False
68,UIM_NEG/CLKREQ1#,unspecified,left,,False
69,GND,power_out,right,,False
70,UIM_POS/PEWAKE1#,unspecified,left,,False
71,REFCLKp1,unspecified,right,clock,False
72,+3V3,power_out,left,,False
73,REFCLKn1,unspecified,right,clock,False
74,+3V3,power_out,left,,False
75,GND,power_out,right,,False
